model,train_accuracy,val_accuracy,test_accuracy,train_macro_f1,val_macro_f1,test_macro_f1,fit_seconds
BP,1.0,0.7668240850059032,0.758341128780792,1.0,0.7809709964789122,0.7539656874429823,9.254716873168945
Dummy-most-frequent,0.05,0.05962219598583235,0.07327720611163081,0.0047619047619047615,0.00562674094707521,0.006827425915165601,0.0016050338745117188
GaussianNB,0.86,0.718417945690673,0.7100093545369505,0.8628600028694147,0.7409184312279686,0.708547809522075,0.03201127052307129
KNN-5,1.0,0.7452774498229043,0.7256002494543187,1.0,0.7630429440324276,0.7247649765319842,0.005112648010253906
DecisionTree-balanced,1.0,0.4766824085005903,0.4811350171499844,1.0,0.4872832488913696,0.4745209188806358,7.832132816314697
ExtraTrees-200-balanced,1.0,0.7435064935064936,0.738696601184908,1.0,0.7611018362881127,0.7335513830929213,1.3335506916046143
