rank,hidden_dims,epochs,best_epoch,batch_size,learning_rate,optimizer,l2_penalty,random_state,train_accuracy,val_accuracy,test_accuracy,train_macro_f1,val_macro_f1,test_macro_f1,train_loss,val_loss,test_loss,fit_seconds
1,96,80,16,256,0.001,adam,0.005,7,0.9907,0.7824675324675324,0.7758029310882445,0.9907009030498941,0.7933574282944,0.7722693940981724,0.07796943894316138,0.8233318341518978,0.8078302644727219,11.731877088546753
2,"128,64",80,50,256,0.0008,adam,0.003,42,0.9994,0.7824675324675324,0.7689429373246024,0.9994003904181931,0.7944105427576608,0.7637066940943198,0.029939289410588595,0.9439896515628337,0.936378456278385,38.94956374168396
3,"128,64",80,45,256,0.001,adam,0.002,42,0.9997,0.7806965761511216,0.7655129404427814,0.9996999972999756,0.793223848486375,0.761248018133166,0.017916297040123295,1.015319347821548,1.0073474988207962,30.779326677322388
4,"128,64",80,17,256,0.001,adam,0.004,42,0.9975,0.7780401416765053,0.7680074836295603,0.9974995445862757,0.7902338611186277,0.7620878968231009,0.04566691238143933,0.8998320562835618,0.8900209902708469,19.170631170272827
5,"128,64",80,17,256,0.001,adam,0.003,42,0.999,0.7768595041322314,0.7667602120361708,0.9989999809995849,0.7889305525143927,0.7602436012764231,0.03419514602976111,0.9406337428490589,0.9281776089254433,19.21791648864746
6,64,80,16,256,0.001,adam,0.005,7,0.9883,0.7756788665879575,0.7714374805113814,0.9883078183975254,0.7869015841130989,0.7669282771638072,0.08683975611575555,0.8227597778446075,0.8039968054569517,10.532302618026733
7,64,80,13,256,0.001,adam,0.004,42,0.9897,0.775383707201889,0.7617711256626131,0.9897022122853197,0.7895327805886969,0.7572325400711666,0.08502276951386413,0.8670486176176252,0.8588839067153674,9.305373191833496
8,96,80,13,256,0.001,adam,0.004,42,0.9926,0.7750885478158206,0.7623947614593077,0.9925979103125309,0.788995821729719,0.7571606286787784,0.07356060185561653,0.8801248817246933,0.8572686569212797,9.65268325805664
9,"64,32",80,48,256,0.001,adam,0.005,7,0.9964,0.7739079102715466,0.7733083879014655,0.9964012869750676,0.7879577601832103,0.7689837617911607,0.05312213664500438,0.8958815210324403,0.863318631587608,24.611807823181152
10,64,80,19,256,0.001,adam,0.005,2026,0.9917,0.7727272727272727,0.7680074836295603,0.9916965392065433,0.7857826172476157,0.7646124322383373,0.08010105010055615,0.8898073119413333,0.8549848658076612,11.746260404586792
