model,train_accuracy,val_accuracy,test_accuracy,train_macro_f1,val_macro_f1,test_macro_f1,fit_seconds
BP,0.9907,0.7824675324675324,0.7758029310882445,0.9907009030498941,0.7933574282944,0.7722693940981724,1.208127737045288
Dummy-most-frequent,0.05,0.05962219598583235,0.07327720611163081,0.0047619047619047615,0.00562674094707521,0.006827425915165601,0.005364418029785156
GaussianNB,0.86,0.718417945690673,0.7100093545369505,0.8628600028694147,0.7409184312279686,0.708547809522075,0.04758334159851074
KNN-5,1.0,0.7452774498229043,0.7256002494543187,1.0,0.7630429440324276,0.7247649765319842,0.0031957626342773438
DecisionTree-balanced,1.0,0.4852420306965762,0.4777050202681634,1.0,0.49521234518743773,0.47152118019742606,20.496842622756958
ExtraTrees-200-balanced,1.0,0.7411452184179457,0.7427502338634238,1.0,0.7582208824657484,0.7373267863098387,2.2221014499664307
