model,hidden_dims,optimizer_samples,optimizer_seconds,bp_seconds,train_accuracy,val_accuracy,test_accuracy,train_macro_f1,val_macro_f1,test_macro_f1,train_loss,val_loss,test_loss,best_optimizer_loss
GA-BP,64,2400,0.714076042175293,9.41834831237793,0.9945,0.7771546635182999,0.7729965700031182,0.9944994808837695,0.7887488076598856,0.7692877159752985,0.06857764149136124,0.8546590397361105,0.8334021986110419,4.123023037747292
BP-small,64,0,0.0,8.48433804512024,0.9946,0.7718417945690673,0.7736202057998129,0.9946013489534724,0.7846093565144188,0.7708763589716952,0.06689818230836081,0.8860134288471706,0.8553401063838848,
PSO-BP,64,2400,0.6777737140655518,11.19172215461731,0.995,0.7694805194805194,0.7680074836295603,0.9950002517903955,0.7832602141914846,0.7629949748281609,0.06858279563375494,0.8883422842860201,0.8594635875577723,3.8249993053446074
